entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-07-18 03:00:00+00:00,2025-07-18 16:00:00+00:00,SHORT,120189.6665859375,117771.33336718749,8.619829416840682,0.0037468365757117074
2025-07-18 17:00:00+00:00,2025-07-19 13:00:00+00:00,LONG,117821.44592968748,118027.9710703125,0.3385561164579681,0.003825615193813503
2025-07-19 16:00:00+00:00,2025-07-20 12:00:00+00:00,LONG,118161.058640625,117985.630640625,-1.1192475160950544,0.0038145723279840284
2025-07-20 13:00:00+00:00,2025-07-21 09:00:00+00:00,SHORT,118248.461296875,118849.53549218748,-2.7436933829944037,0.003811088960670512
2025-07-21 13:00:00+00:00,2025-07-22 09:00:00+00:00,SHORT,118732.99190625,118571.98478125,0.161007040944399,0.0037941913262076066
2025-07-22 10:00:00+00:00,2025-07-23 06:00:00+00:00,SHORT,118803.3511640625,118581.83055468749,0.3903255720852584,0.003791822445908296
2025-07-23 07:00:00+00:00,2025-07-24 03:00:00+00:00,LONG,118525.234953125,118453.9196953125,-0.7212546647618145,0.0038006944764893305
2025-07-24 05:00:00+00:00,2025-07-25 01:00:00+00:00,LONG,117750.3201875,117386.3789296875,-1.8411789495853756,0.0038252092941249496
2025-07-25 02:00:00+00:00,2025-07-25 03:00:00+00:00,LONG,116650.46361718749,115312.17396093749,-5.611329855825251,0.0038602936094342894
2025-07-25 04:00:00+00:00,2025-07-25 14:00:00+00:00,LONG,116244.84746874998,114868.9925859375,-5.7708249149967585,0.0038711561612672462
2025-07-25 15:00:00+00:00,2025-07-25 20:00:00+00:00,SHORT,115671.2676328125,117197.98715624999,-6.390997406215057,0.0038876630761763547
2025-07-25 22:00:00+00:00,2025-07-26 18:00:00+00:00,SHORT,117185.9701640625,118243.03115624998,-4.506696047727923,0.003834493848584292
2025-07-26 22:00:00+00:00,2025-07-27 18:00:00+00:00,LONG,118214.74508593748,118986.9954609375,2.4817656099305365,0.0037990276015189817
2025-07-27 19:00:00+00:00,2025-07-28 15:00:00+00:00,SHORT,118895.064046875,118314.43060937499,1.7467079369492218,0.0037781443352217594
2025-07-28 16:00:00+00:00,2025-07-29 12:00:00+00:00,LONG,118150.8453125,118797.755203125,2.0081419192064116,0.003802491525028553
2025-07-29 13:00:00+00:00,2025-07-30 09:00:00+00:00,SHORT,118487.5578984375,118316.79234374998,0.1989037281210962,0.003792343598451596
