,entry_time,entry_price,position,size,stop_loss,take_profit,market_regime,volatility_pct,session,entry_type,exit_time,exit_price,pnl,return_pct,direction,volatility_state
184,2025-11-26 20:30:00+00:00,89672.45,1,0.08119106835465803,89123.14136076871,90771.06727846256,Trend_Up,0.9214637453381287,NY,Pullback,2025-11-27 00:45:00+00:00,90771.06727846256,89.19791055126265,1.2251447110707547,Long,Normal
185,2025-11-27 04:15:00+00:00,91146.3735,1,0.10283062480234989,90708.3236008093,92022.47329838143,Trend_Up,0.9668641641878896,Asia,Pullback,2025-11-27 13:15:00+00:00,90708.3236008093,-45.04494482838688,-0.48060046973861004,Long,Normal
186,2025-11-27 13:30:00+00:00,90822.644,1,0.13357341590992117,90487.10028571429,91493.73142857144,Trend_Up,0.7544487167322809,NY,Pullback,2025-11-27 16:30:00+00:00,91493.73142857144,89.6394402084922,0.7388988021219004,Long,Low
187,2025-11-27 19:45:00+00:00,91522.26,1,0.15833735437408927,91236.36462499999,92094.05075,Trend_Up,0.5614106104585146,NY,Pullback,2025-11-27 21:00:00+00:00,91236.36462499999,-45.2679173052893,-0.31237796684654345,Long,Low
188,2025-11-27 21:15:00+00:00,91530.0145,1,0.17742288418225297,91276.14883928571,92037.74582142857,Trend_Up,0.544702942239364,Asia,Pullback,2025-11-27 22:30:00+00:00,91276.14883928571,-45.0415777187628,-0.2773578285779591,Long,Low
189,2025-11-27 22:45:00+00:00,91327.62,1,0.16961276822045382,91063.39242857142,91856.07514285714,Trend_Up,0.5597615016605674,Asia,Pullback,2025-11-28 00:15:00+00:00,91063.39242857142,-44.816369830168945,-0.28931835892425406,Long,Low
190,2025-11-28 00:45:00+00:00,91175.25,1,0.16216462055169537,90900.26839285714,91725.21321428572,Trend_Up,0.5407046946872697,Asia,Pullback,2025-11-28 01:00:00+00:00,90900.26839285714,-44.59228798101806,-0.301596767919874,Long,Low
191,2025-11-28 03:15:00+00:00,91179.85,-1,0.13493244280517255,91508.67623050987,90522.19753898028,Neutral,0.5388466087791437,Asia,Mean Reversion,2025-11-28 04:15:00+00:00,91508.67623050987,-44.36932654111237,-0.3606347570322406,Short,Low
192,2025-11-28 04:30:00+00:00,91447.175,-1,0.1357985636680127,91772.27033765272,90796.98432469457,Trend_Up,0.5357647112920126,Asia,Pullback,2025-11-28 05:45:00+00:00,91772.27033765272,-44.14747990840668,-0.3555006894993943,Short,Low
193,2025-11-28 06:45:00+00:00,91300.48,1,0.1572496366804518,91021.136,91859.168,Neutral,0.5281834402449387,Asia,Mean Reversion,2025-11-28 07:45:00+00:00,91021.136,-43.92674250886371,-0.30596115157335135,Long,Low
194,2025-11-28 12:15:00+00:00,91565.854,1,0.139273866407029,91252.03267857144,92193.49664285715,Neutral,0.6295843963312963,London,Mean Reversion,2025-11-28 13:45:00+00:00,92193.49664285715,87.41421759264036,0.6854549107980177,Long,Low
195,2025-11-28 16:15:00+00:00,91227.6436798025,1,0.07158433625271558,90610.96994648129,92460.99114644493,Neutral,0.8831366564879484,NY,Mean Reversion,2025-11-28 17:15:00+00:00,90610.96994648129,-44.14417988428279,-0.6759724448059348,Long,Normal
196,2025-11-28 19:45:00+00:00,91153.739,-1,0.07698608775929827,91724.27661612346,90012.66376775307,Neutral,1.0094828108557983,NY,Mean Reversion,2025-11-29 06:15:00+00:00,91724.27661612346,-43.92345898486151,-0.6259069813071079,Short,Normal
197,2025-11-29 09:45:00+00:00,90593.465,-1,0.1260098778368116,90940.2936966085,89899.807606783,Neutral,0.546365091606855,London,Mean Reversion,2025-11-29 13:30:00+00:00,90940.2936966085,-43.70384168993765,-0.38284074531038165,Short,Low
198,2025-11-29 13:45:00+00:00,90830.374,-1,0.20495750989896103,91042.54149999999,90406.03899999999,Neutral,0.5125950058228498,NY,Mean Reversion,2025-11-29 15:15:00+00:00,91042.54149999999,-43.48532248148698,-0.23358650928817706,Short,Low
199,2025-11-29 17:00:00+00:00,90735.969,1,0.1422149514110429,90431.7260533915,91344.454893217,Neutral,0.6199473429066998,NY,Mean Reversion,2025-11-29 18:00:00+00:00,90431.7260533915,-43.26789586908054,-0.33530577780957116,Long,Low
